Round,Name,City,Host,Latitude,Longitude
1,The Palace at Auburn Hills,"Auburn Hills, MI",Oakland,42.687532,-83.234103
1,Rupp Arena,"Lexington, KY",Kentucky,38.040584,-84.503716
1,EnergySolutions Arena,"Salt Lake City, UT",Utah,40.760779,-111.891047
1,hp Pavilion,"San Jose, CA",WCC,37.339386,-121.894955
1,Frank Erwin Center,"Austin, TX",Texas,30.267153,-97.743061
1,University of Dayton Arena,"Dayton, OH",Dayton,39.758948,-84.191607
1,Sprint Center,"Kansas City, MO",MVC,39.099727,-94.578567
1,Wells Fargo Center,"Philadelphia, PA",Temple,39.95228,-75.162454
2,Verizon Center,"Washington, DC",Georgetown,38.89037,-77.031959
2,Cowboys Stadium,"Arlington, Texas",,32.7356,-97.107719
2,Lucas Oil Stadium,"Indianapolis, IN",IUPUI,39.76691,-86.149964
2,Staples Center,"Los Angeles, CA",Pepperdine,34.05349,-118.245319
3,Georgia Dome,"Atlanta, GA",NCAA,33.748315,-84.391109
